,BTC-USD,BTC-USD,BTC-USD,BTC-USD,BTC-USD,DOGE-USD,DOGE-USD,DOGE-USD,DOGE-USD,DOGE-USD,ETH-USD,ETH-USD,ETH-USD,ETH-USD,ETH-USD
,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume
Date,,,,,,,,,,,,,,,
2020-11-23,18370.017578125,19390.96484375,16351.03515625,18177.484375,301939363508,0.0033289999701082706,0.004255999810993671,0.0029800001066178083,0.003447999944910407,914933941,558.0595092773438,621.1734008789062,485.497314453125,575.758056640625,148365425751
2020-11-30,18178.322265625,19845.974609375,18178.322265625,19345.12109375,253088772491,0.003447999944910407,0.0035800000187009573,0.0032679999712854624,0.003387999953702092,384784411,575.757080078125,635.1605834960938,563.1066284179688,601.9089965820312,121611808952
2020-12-07,19343.12890625,19411.828125,17619.533203125,19142.3828125,193678842258,0.003387999953702092,0.0034000000450760126,0.0030090000946074724,0.0032560001127421856,283757645,601.797119140625,602.9179077148438,532.9984130859375,589.6632080078125,81351653045
2020-12-14,19144.4921875,24209.66015625,19012.708984375,23477.294921875,281723269352,0.0032560001127421856,0.00467800023034215,0.00317799998447299,0.004625000059604645,1005405450,589.782470703125,673.834228515625,577.118408203125,638.2908325195312,100712316665
2020-12-21,23474.455078125,28288.83984375,22159.3671875,26272.294921875,339132207025,0.0046270000748336315,0.0054060001857578754,0.003640000009909272,0.004548000171780586,1695010153,638.315185546875,711.3935546875,560.3642578125,682.642333984375,113119816165
2020-12-28,26280.822265625,34608.55859375,25987.298828125,32782.0234375,379626054545,0.004548000171780586,0.013867000117897987,0.0042779999785125256,0.009770999662578106,6728378661,683.205810546875,1006.5650024414062,683.205810546875,975.5076904296875,152747909037
2021-01-04,32810.94921875,41946.73828125,28722.755859375,38356.44140625,538834804975,0.0097850002348423,0.01142099965363741,0.007877999916672707,0.009859999641776085,4669103304,977.058837890625,1347.9261474609375,912.3053588867188,1262.2467041015625,301834730092
2021-01-11,38346.53125,39966.40625,30549.599609375,35791.27734375,508900951412,0.009858000092208385,0.010029999539256096,0.006769999861717224,0.009066999889910221,2551797881,1261.6229248046875,1290.0535888671875,924.922607421875,1230.1722412109375,259298253002
2021-01-18,35792.23828125,37755.890625,28953.373046875,32289.37890625,423439379849,0.009069999679923058,0.009612999856472015,0.007654000073671341,0.008727000094950199,1391969278,1230.313232421875,1432.300048828125,1046.5965576171875,1391.609375,273320283914
2021-01-25,32285.798828125,38406.26171875,29367.138671875,33114.359375,497468344671,0.008727000094950199,0.07797300070524216,0.007294000126421452,0.037195999175310135,45359682180,1390.639892578125,1467.784912109375,1215.311279296875,1314.9862060546875,273750977500
2021-02-01,33114.578125,40846.546875,32384.228515625,38903.44140625,449918619842,0.037053998559713364,0.08435700088739395,0.029194999486207962,0.07878199964761734,51941100416,1314.855224609375,1756.510986328125,1274.3577880859375,1614.227783203125,280790741209
2021-02-08,38886.828125,49487.640625,38076.32421875,48717.2890625,580021243858,0.07835199683904648,0.08494500070810318,0.05672299861907959,0.06253699958324432,41590422363,1613.6422119140625,1871.603515625,1571.5799560546875,1805.0841064453125,274834235664
2021-02-15,48696.53515625,58330.5703125,46347.4765625,57539.9453125,470533297170,0.06256800144910812,0.06392399966716766,0.048034001141786575,0.055980000644922256,24457389035,1804.6767578125,2036.2864990234375,1683.9066162109375,1935.60107421875,222027748895
2021-02-22,57532.73828125,57533.390625,43241.6171875,45137.76953125,766679775805,0.05604400113224983,0.06046599894762039,0.042410001158714294,0.04805200174450874,16655250530,1935.557861328125,1936.4537353515625,1300.47216796875,1416.0489501953125,230065320353
2021-03-01,45159.50390625,52535.13671875,45115.09375,51206.69140625,333113779409,0.04806999862194061,0.052397001534700394,0.04787899926304817,0.052122000604867935,8704255861,1417.151123046875,1730.9241943359375,1416.4161376953125,1723.15380859375,159760752478
2021-03-08,51174.1171875,61683.86328125,49506.0546875,59302.31640625,373838576722,0.05212299898266792,0.06305199861526489,0.05167200043797493,0.05859199911355972,14697916615,1724.229248046875,1937.6455078125,1670.9420166015625,1854.5643310546875,167054641757
