,ETH-USD,ETH-USD,ETH-USD,ETH-USD,ETH-USD,BTC-USD,BTC-USD,BTC-USD,BTC-USD,BTC-USD,DOGE-USD,DOGE-USD,DOGE-USD,DOGE-USD,DOGE-USD
,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume
Date,,,,,,,,,,,,,,,
2021-03-09,1835.1480712890625,1868.048828125,1804.266357421875,1868.048828125,23461244507,52272.96875,54824.1171875,51981.83203125,54824.1171875,50912227385,0.0621040016412735,0.06226800009608269,0.05605100095272064,0.05799800157546997,2466159943
2021-03-10,1868.489013671875,1873.80322265625,1766.490478515625,1799.166259765625,25154173185,54824.01171875,57258.25390625,53290.890625,56008.55078125,57295577614,0.05796400085091591,0.05861600115895271,0.05469200015068054,0.05600399896502495,1534489620
2021-03-11,1798.033935546875,1843.81884765625,1734.6170654296875,1826.1949462890625,24013132909,55963.1796875,58091.0625,54484.59375,57805.12109375,56772343595,0.055977001786231995,0.05669799819588661,0.05450199916958809,0.055918000638484955,1233383425
2021-03-12,1826.5467529296875,1839.497314453125,1728.98095703125,1772.1024169921875,22435821312,57821.21875,57996.62109375,55376.6484375,57332.08984375,55689944702,0.05592099949717522,0.05697999894618988,0.05451299995183945,0.05534899979829788,1287767221
2021-03-13,1772.1663818359375,1937.6455078125,1733.639892578125,1924.6854248046875,25014689475,57343.37109375,61683.86328125,56217.97265625,61243.0859375,60669829814,0.05535300076007843,0.062431998550891876,0.05475600063800812,0.062431998550891876,1869833076
2021-03-14,1923.86376953125,1930.77978515625,1845.1199951171875,1854.5643310546875,19344589211,61221.1328125,61597.91796875,59302.31640625,59302.31640625,43901225564,0.062383998185396194,0.06305199861526489,0.05859199911355972,0.05859199911355972,2752132530
2021-03-15,1854.086669921875,1889.1966552734375,1749.6063232421875,1791.7022705078125,26244738810,59267.4296875,60540.9921875,55393.1640625,55907.19921875,66419369890,0.05853100121021271,0.059689000248909,0.05514099821448326,0.05708799883723259,1738710876
2021-03-16,1792.413818359375,1817.0601806640625,1720.05322265625,1806.9718017578125,23828509590,55840.78515625,56833.1796875,53555.02734375,56804.90234375,59749798599,0.057085998356342316,0.058921001851558685,0.05549300089478493,0.05860700085759163,1393771913
2021-03-17,1807.05615234375,1839.8189697265625,1749.179931640625,1823.4493408203125,24512917348,56825.828125,58969.81640625,54528.62890625,58870.89453125,60258313191,0.05860999971628189,0.058866001665592194,0.056471001356840134,0.057652998715639114,861926643
2021-03-18,1823.158447265625,1848.6461181640625,1705.716064453125,1782.8551025390625,23263845504,58893.078125,60116.25,54253.578125,57858.921875,55746041000,0.05764000117778778,0.058827999979257584,0.05414300039410591,0.05738300085067749,909777445
2021-03-19,1782.5687255859375,1841.196044921875,1746.473388671875,1817.6241455078125,21249297710,57850.44140625,59498.375,56643.703125,58346.65234375,49063873786,0.05737699940800667,0.059721000492572784,0.05660400167107582,0.05832799896597862,964747809
